fast food,person,text,food,clothing,snack,indoor,man,menu,street food,A69525,Grey,Black
indoor,floor,table,furniture,ceiling,text,kitchen & dining room table,kitchen,fast food,food,BD830E,White,White
ceiling,indoor,person,table,fast food,clothing,text,food,man,furniture,AE221D,Black,Brown
floor,indoor,furniture,table,chair,kitchen & dining room table,clothing,person,fast food,cafe,BB3110,Brown,White
person,fast food,table,sitting,food,dinner,indoor,group,text,people,967735,Black,Brown
person,text,indoor,table,clothing,furniture,restaurant,menu,fast food,people,835C48,Black,Black
person,table,food,fast food,ceiling,people,scene,group,indoor,clothing,AA212E,Grey,Brown
table,text,indoor,food,fast food,plate,furniture,menu,bar,kitchen & dining room table,B97D12,Black,Brown
indoor,furniture,table,ceiling,clothing,chair,person,floor,text,fast food,9B6A30,Grey,Grey
furniture,table,chair,kitchen & dining room table,indoor,floor,coffee table,restaurant,interior,cafe,367495,White,Black
person,table,clothing,indoor,food,fast food,woman,group,smile,man,A63025,Black,Black
indoor,ceiling,table,furniture,floor,wall,chair,person,clothing,room,B27719,Black,White
floor,indoor,text,furniture,table,chair,restaurant,ceiling,kitchen & dining room table,bar,B63715,Brown,Brown
indoor,furniture,floor,table,text,television,desk,chair,room,restaurant,AB7420,Brown,White
building,text,outdoor,bicycle,street,person,market,billboard,city,clothing,2471A7,Black,Black
table,ceiling,fast food,person,clothing,food,indoor,text,furniture,scene,9E632D,White,Brown
indoor,table,furniture,chair,floor,ceiling,kitchen & dining room table,menu,cafe,bar,A66125,Brown,Brown
indoor,floor,table,ceiling,chair,room,person,fast food,clothing,text,B82213,Grey,Grey
furniture,table,chair,floor,text,indoor,bar,kitchen & dining room table,restaurant,coffee table,A56A26,Brown,Brown
table,furniture,text,fast food,floor,indoor,chair,menu,kitchen & dining room table,cafe,996A32,Brown,Black
person,table,indoor,clothing,furniture,food,drink,bottle,chair,woman,B11B1A,Black,Black
table,chair,indoor,floor,kitchen & dining room table,ceiling,coffee table,room,cafe,dining,B39218,Brown,Brown
person,indoor,food,ceiling,table,people,clothing,wall,fast food,group,9A8431,Brown,Brown
indoor,furniture,floor,table,text,ceiling,chair,restaurant,wooden,building,9A6331,Black,Black
