table,chair,indoor,floor,kitchen & dining room table,room,window,coffee table,living,restaurant,69412C,Black,White
indoor,window,hotel,house,table,chair,building,luxury,design,kitchen & dining room table,6C4124,White,White
indoor,ceiling,kitchen,furniture,floor,desk,person,counter,text,clothing,C48E07,Brown,Brown
table,ceiling,indoor,chair,hotel,desk,office,design,office building,building,C7AA04,Brown,Brown
indoor,room,table,living,floor,wall,coffee table,kitchen & dining room table,restaurant,couch,BA8811,Brown,Brown
floor,wall,indoor,table,room,living,chair,coffee table,vase,kitchen & dining room table,A67325,Brown,Brown
table,indoor,kitchen & dining room table,floor,chair,coffee table,room,ceiling,vase,living,3C1D10,Brown,Brown
table,chair,indoor,floor,kitchen & dining room table,coffee table,house,restaurant,hotel,ceiling,796146,Grey,Grey
table,furniture,indoor,chair,restaurant,kitchen & dining room table,coffee table,cafe,food,ceiling,8B6740,Black,Black
furniture,table,chair,indoor,kitchen & dining room table,interior,coffee table,house,cabinetry,mirror,986033,Brown,Grey
floor,table,indoor,kitchen & dining room table,chair,ceiling,coffee table,design,hotel,room,A86A23,Grey,Brown
table,floor,indoor,chair,kitchen & dining room table,ceiling,desk,scene,room,restaurant,B27619,Brown,Brown
floor,indoor,table,room,chair,ceiling,desk,living,library,window,976634,Grey,Grey
table,chair,indoor,kitchen & dining room table,vase,restaurant,house,coffee table,living,room,BB7810,Brown,Brown
table,fast food,indoor,food,snack,plate,pastry,dinner,restaurant,dessert,B28919,Brown,Brown
table,furniture,chair,text,coffee table,restaurant,building,kitchen & dining room table,vase,bottle,6E3B10,Brown,Black
indoor,table,ceiling,floor,restaurant,desk,kitchen & dining room table,chair,cafe,coffee table,955A36,Brown,Brown
indoor,table,furniture,chair,ceiling,floor,kitchen & dining room table,room,building,coffee table,9B6230,Brown,Brown
table,tableware,vase,plate,wine glass,flower,tablecloth,furniture,kitchen & dining room table,centrepiece,271308,Brown,White
table,fast food,food,restaurant,vegetable,ceiling,person,dinner,cafe,clothing,41671B,Brown,Brown
indoor,ceiling,furniture,table,floor,chair,cafe,kitchen & dining room table,window,desk,C28609,White,Brown
table,floor,indoor,chair,hotel,kitchen & dining room table,room,ceiling,coffee table,dining,BF910C,Brown,Brown
table,indoor,chair,floor,wall,kitchen & dining room table,coffee table,desk,ceiling,room,AB6C20,Brown,Brown
furniture,chair,floor,table,kitchen & dining room table,indoor,ceiling,cafe,coffee table,bar,A27029,Brown,Brown
indoor,floor,ceiling,table,kitchen & dining room table,room,hotel,chair,coffee table,restaurant,B32B18,White,Brown
ceiling,indoor,table,person,floor,clothing,woman,furniture,people,dinner,996D32,Brown,Black
table,outdoor,furniture,chair,kitchen & dining room table,hotel,building,coffee table,tablecloth,vase,B36E18,Brown,Brown
table,ceiling,indoor,furniture,chair,kitchen & dining room table,tableware,dinner,vase,function hall,C17D0A,Brown,Brown
food,fast food,table,kitchen,plate,indoor,fruit,menu,counter,snack,A99B22,White,White
indoor,table,wall,chair,floor,kitchen & dining room table,restaurant,coffee table,room,hotel,8F743C,Grey,Black
indoor,ceiling,table,wall,furniture,chair,kitchen & dining room table,bottle,tableware,menu,C28F09,Brown,Brown
indoor,wall,furniture,text,bottle,vase,person,shelf,window,restaurant,BD7F0E,Black,Brown
